5.25 -0.410 -0.330 -0.228 -0.101  0.054  0.247  0.481  0.751  1.049  1.386  1.794  2.274  2.765  3.266  3.737  4.111  4.367  4.522  4.614
5.30 -0.503 -0.425 -0.329 -0.204 -0.034  0.187  0.452  0.748  1.068  1.414  1.806  2.263  2.751  3.253  3.710  4.050  4.273  4.409  4.500
5.35 -0.606 -0.536 -0.441 -0.319 -0.159  0.059  0.342  0.666  1.015  1.383  1.783  2.225  2.703  3.204  3.644  3.959  4.160  4.288  4.381
5.40 -0.672 -0.627 -0.552 -0.441 -0.283 -0.071  0.205  0.543  0.915  1.311  1.731  2.158  2.631  3.125  3.545  3.841  4.034  4.163  4.265
5.45 -0.707 -0.681 -0.630 -0.540 -0.397 -0.181  0.116  0.467  0.845  1.244  1.667  2.095  2.556  3.027  3.424  3.710  3.902  4.041  4.153
5.50 -0.725 -0.710 -0.676 -0.610 -0.491 -0.295  0.003  0.374  0.787  1.198  1.616  2.040  2.483  2.924  3.298  3.577  3.775  3.929  4.051
5.55 -0.723 -0.722 -0.705 -0.660 -0.561 -0.381 -0.095  0.290  0.737  1.177  1.603  2.004  2.418  2.829  3.180  3.454  3.662  3.833  3.963
5.60 -0.714 -0.715 -0.709 -0.684 -0.614 -0.459 -0.186  0.202  0.660  1.133  1.584  1.981  2.370  2.752  3.082  3.350  3.569  3.757  3.893
5.65 -0.706 -0.707 -0.701 -0.684 -0.638 -0.520 -0.280  0.095  0.556  1.046  1.516  1.941  2.330  2.692  3.007  3.273  3.503  3.702  3.851
5.70 -0.696 -0.697 -0.693 -0.678 -0.636 -0.537 -0.340 -0.004  0.446  0.947  1.436  1.891  2.292  2.650  2.958  3.225  3.467  3.673  3.857
5.75 -0.692 -0.688 -0.681 -0.668 -0.634 -0.544 -0.361 -0.064  0.348  0.844  1.357  1.835  2.254  2.621  2.932  3.204  3.457  3.664  3.866
5.80 -0.692 -0.686 -0.675 -0.657 -0.621 -0.540 -0.385 -0.094  0.293  0.763  1.280  1.779  2.220  2.601  2.924  3.208  3.469  3.691  3.816
5.85 -0.690 -0.685 -0.673 -0.651 -0.611 -0.528 -0.370 -0.104  0.267  0.721  1.220  1.731  2.192  2.591  2.931  3.232  3.496  3.723  3.842
5.90 -0.693 -0.686 -0.674 -0.650 -0.606 -0.522 -0.362 -0.105  0.254  0.695  1.185  1.697  2.177  2.594  2.951  3.267  3.533  3.758  3.872
5.95 -0.690 -0.688 -0.675 -0.649 -0.600 -0.511 -0.354 -0.097  0.263  0.694  1.174  1.683  2.173  2.607  2.981  3.309  3.569  3.787  3.886
6.00 -0.688 -0.686 -0.673 -0.649 -0.599 -0.503 -0.342 -0.083  0.275  0.719  1.196  1.692  2.186  2.631  3.018  3.350  3.611  3.743  3.865
6.10 -0.691 -0.682 -0.670 -0.642 -0.597 -0.503 -0.327 -0.055  0.319  0.777  1.260  1.752  2.241  2.693  3.087  3.401  3.614  3.733  3.827
6.20 -0.698 -0.692 -0.681 -0.648 -0.592 -0.497 -0.327 -0.044  0.347  0.805  1.307  1.817  2.303  2.739  3.096  3.353  3.514  3.601  3.686
6.30 -0.698 -0.699 -0.692 -0.677 -0.626 -0.521 -0.334 -0.044  0.353  0.810  1.304  1.803  2.273  2.670  2.973  3.173  3.305  3.397  3.490
6.40 -0.700 -0.700 -0.695 -0.688 -0.656 -0.579 -0.408 -0.110  0.297  0.760  1.224  1.667  2.078  2.432  2.709  2.901  3.042  3.152  3.266
6.50 -0.701 -0.701 -0.700 -0.694 -0.673 -0.621 -0.495 -0.247  0.127  0.574  1.016  1.418  1.781  2.111  2.383  2.597  2.764  2.899  3.037
6.60 -0.702 -0.702 -0.701 -0.697 -0.684 -0.649 -0.562 -0.378 -0.074  0.323  0.741  1.124  1.467  1.783  2.061  2.300  2.490  2.655  2.811
6.70 -0.704 -0.703 -0.703 -0.700 -0.694 -0.669 -0.609 -0.480 -0.247  0.084  0.468  0.833  1.167  1.478  1.771  2.023  2.232  2.424  2.599
6.80 -0.705 -0.704 -0.704 -0.704 -0.698 -0.681 -0.642 -0.553 -0.383 -0.113  0.223  0.564  0.892  1.210  1.508  1.772  1.995  2.222  2.336
6.90 -0.706 -0.706 -0.706 -0.705 -0.701 -0.689 -0.661 -0.600 -0.476 -0.266  0.022  0.341  0.666  0.980  1.289  1.552  1.784  2.026  2.162
7.00 -0.708 -0.708 -0.708 -0.707 -0.703 -0.692 -0.670 -0.624 -0.530 -0.362 -0.115  0.179  0.489  0.811  1.104  1.357  1.607  1.792  1.965
7.10 -0.711 -0.710 -0.710 -0.710 -0.707 -0.699 -0.679 -0.634 -0.549 -0.399 -0.177  0.090  0.375  0.662  0.931  1.177  1.433  1.652  1.802
7.20 -0.714 -0.714 -0.714 -0.713 -0.711 -0.706 -0.691 -0.652 -0.570 -0.420 -0.209  0.029  0.269  0.515  0.760  1.014  1.266  1.486
7.30 -0.718 -0.718 -0.718 -0.717 -0.716 -0.712 -0.702 -0.674 -0.606 -0.472 -0.275 -0.065  0.142  0.361  0.595  0.861  1.127
7.40 -0.723 -0.723 -0.723 -0.722 -0.722 -0.719 -0.712 -0.693 -0.644 -0.541 -0.382 -0.197 -0.002  0.210  0.448  0.728  0.995
7.50 -0.729 -0.729 -0.729 -0.729 -0.728 -0.726 -0.721 -0.707 -0.673 -0.600 -0.481 -0.322 -0.135  0.073  0.320  0.604
7.60 -0.736 -0.736 -0.736 -0.736 -0.736 -0.735 -0.731 -0.721 -0.696 -0.643 -0.553 -0.417 -0.245 -0.042  0.213  0.489
7.70 -0.746 -0.746 -0.746 -0.746 -0.745 -0.745 -0.742 -0.734 -0.715 -0.675 -0.603 -0.488 -0.336 -0.137  0.117  0.375
7.80 -0.757 -0.757 -0.757 -0.757 -0.757 -0.757 -0.755 -0.749 -0.734 -0.703 -0.642 -0.546 -0.410 -0.218  0.024  0.256
7.90 -0.772 -0.772 -0.772 -0.772 -0.772 -0.772 -0.771 -0.766 -0.754 -0.728 -0.678 -0.597 -0.472 -0.292 -0.076
8.00 -0.788 -0.788 -0.788 -0.788 -0.788 -0.788 -0.787 -0.783 -0.773 -0.752 -0.711 -0.642 -0.526 -0.362 -0.170
8.10 -0.808 -0.808 -0.808 -0.808 -0.808 -0.808 -0.807 -0.804 -0.797 -0.778 -0.746 -0.684 -0.580 -0.435 -0.270
8.30 -0.861 -0.861 -0.861 -0.861 -0.861 -0.861 -0.860 -0.859 -0.854 -0.844 -0.822 -0.771 -0.698 -0.589 -0.498
8.50 -0.932 -0.932 -0.932 -0.932 -0.931 -0.931 -0.931 -0.931 -0.929 -0.921 -0.902 -0.874 -0.828 -0.743 -0.993
8.70 -0.668 -0.931 -1.004 -1.015 -1.016 -1.016 -1.016 -1.017 -1.019 -1.012 -1.002 -0.989 -0.974 -0.974
