1.0000000e+00 1.0000000e+00 1.0000000e+00 -3.9185590e-07 1.0000000e+00 7.6219728e+09 4.1221910e+09 3.0000000e+05 6.3222531e-11 1.2480773e+09 1.1619006e+05 -1.7965769e+05 2.0000000e+38 1.7001643e-01 5.8884855e+19 2.1180063e-01 -3.7098970e-07 1.5536584e+06         -inf         -inf 
1.0007150e+00 1.0002799e+00 9.9999327e-01 3.9162151e-01 1.0017109e+00 7.6274228e+09 4.1233448e+09 2.9999798e+05 6.3114550e-11 1.2478489e+09 1.1602408e+05 -1.7951062e+05 2.0011042e+38 1.7001671e-01 5.8884863e+19 2.1159750e-01 -3.7002249e-07 1.5522980e+06 -9.3045266e+21 -4.3972762e+22 
1.0014306e+00 1.0005597e+00 9.9998655e-01 3.9124592e-01 1.0034245e+00 7.6328766e+09 4.1244982e+09 2.9999597e+05 6.3006764e-11 1.2475318e+09 1.1585834e+05 -1.7936616e+05 2.0011348e+38 1.7001698e-01 5.8884872e+19 2.1137658e-01 -3.6884939e-07 1.5501067e+06 -4.6507687e+21 -2.2002290e+22 
1.0021466e+00 1.0008394e+00 9.9997985e-01 3.9083743e-01 1.0051409e+00 7.6383343e+09 4.1256512e+09 2.9999396e+05 6.2899173e-11 1.2472124e+09 1.1569283e+05 -1.7922188e+05 2.0011397e+38 1.7001725e-01 5.8884880e+19 2.1115539e-01 -3.6767513e-07 1.5478986e+06 -3.0995116e+21 -1.4678818e+22 
1.0028632e+00 1.0011190e+00 9.9997317e-01 3.9042845e-01 1.0068600e+00 7.6437960e+09 4.1268039e+09 2.9999195e+05 6.2791777e-11 1.2468924e+09 1.1552756e+05 -1.7907773e+05 2.0011411e+38 1.7001753e-01 5.8884888e+19 2.1093432e-01 -3.6650405e-07 1.5456909e+06 -2.3238818e+21 -1.1017087e+22 
1.0035803e+00 1.0013986e+00 9.9996650e-01 3.9001969e-01 1.0085820e+00 7.6492615e+09 4.1279562e+09 2.9998995e+05 6.2684575e-11 1.2465721e+09 1.1536253e+05 -1.7893369e+05 2.0011416e+38 1.7001780e-01 5.8884897e+19 2.1071340e-01 -3.6533664e-07 1.5434857e+06 -1.8585031e+21 -8.8200518e+21 
1.0042979e+00 1.0016780e+00 9.9995985e-01 3.8961120e-01 1.0103066e+00 7.6547310e+09 4.1291080e+09 2.9998796e+05 6.2577566e-11 1.2462515e+09 1.1519773e+05 -1.7878977e+05 2.0011418e+38 1.7001807e-01 5.8884905e+19 2.1049264e-01 -3.6417301e-07 1.5412834e+06 -1.5482500e+21 -7.3553639e+21 
1.0050160e+00 1.0019573e+00 9.9995322e-01 3.8920302e-01 1.0120341e+00 7.6602043e+09 4.1302595e+09 2.9998597e+05 6.2470751e-11 1.2459307e+09 1.1503316e+05 -1.7864596e+05 2.0011419e+38 1.7001834e-01 5.8884914e+19 2.1027206e-01 -3.6301317e-07 1.5390842e+06 -1.3266401e+21 -6.3091602e+21 
1.0057346e+00 1.0022366e+00 9.9994660e-01 3.8879516e-01 1.0137644e+00 7.6656816e+09 4.1314107e+09 2.9998398e+05 6.2364129e-11 1.2456096e+09 1.1486884e+05 -1.7850227e+05 2.0011419e+38 1.7001861e-01 5.8884922e+19 2.1005164e-01 -3.6185712e-07 1.5368880e+06 -1.1604322e+21 -5.5245092e+21 
1.0064537e+00 1.0025157e+00 9.9994000e-01 3.8838760e-01 1.0154974e+00 7.6711628e+09 4.1325614e+09 2.9998200e+05 6.2257699e-11 1.2452883e+09 1.1470474e+05 -1.7835870e+05 2.0011419e+38 1.7001888e-01 5.8884931e+19 2.0983139e-01 -3.6070486e-07 1.5346950e+06 -1.0311590e+21 -4.9142266e+21 
1.0071734e+00 1.0027948e+00 9.9993342e-01 3.8798036e-01 1.0172332e+00 7.6766479e+09 4.1337117e+09 2.9998002e+05 6.2151462e-11 1.2449667e+09 1.1454088e+05 -1.7821524e+05 2.0011419e+38 1.7001915e-01 5.8884939e+19 2.0961131e-01 -3.5955638e-07 1.5325050e+06 -9.2774004e+20 -4.4260019e+21 
